STATION,DATE,TMAX,TMIN
USW00093134,1/1/2014,71,44
USW00093134,1/2/2014,81,52
USW00093134,1/3/2014,72,48
USW00093134,1/4/2014,69,50
USW00093134,1/5/2014,77,45
USW00093134,1/6/2014,78,49
USW00093134,1/7/2014,69,48
USW00093134,1/8/2014,68,47
USW00093134,1/9/2014,63,51
USW00093134,1/10/2014,70,47
USW00093134,1/11/2014,73,48
USW00093134,1/12/2014,71,50
USW00093134,1/13/2014,80,46
USW00093134,1/14/2014,82,48
USW00093134,1/15/2014,85,48
USW00093134,1/16/2014,85,49
USW00093134,1/17/2014,85,52
USW00093134,1/18/2014,84,52
USW00093134,1/19/2014,80,48
USW00093134,1/20/2014,81,47
USW00093134,1/21/2014,78,54
USW00093134,1/22/2014,77,54
USW00093134,1/23/2014,72,51
USW00093134,1/24/2014,73,55
USW00093134,1/25/2014,77,56
USW00093134,1/26/2014,69,52
USW00093134,1/27/2014,69,52
USW00093134,1/28/2014,70,49
USW00093134,1/29/2014,70,52
USW00093134,1/30/2014,63,57
USW00093134,1/31/2014,65,53
USW00093134,2/1/2014,66,50
USW00093134,2/2/2014,63,47
USW00093134,2/3/2014,63,46
USW00093134,2/4/2014,63,48
USW00093134,2/5/2014,64,48
USW00093134,2/6/2014,60,52
USW00093134,2/7/2014,63,50
USW00093134,2/8/2014,66,52
USW00093134,2/9/2014,67,54
USW00093134,2/10/2014,73,53
USW00093134,2/11/2014,75,54
USW00093134,2/12/2014,80,51
USW00093134,2/13/2014,80,52
USW00093134,2/14/2014,79,50
USW00093134,2/15/2014,78,51
USW00093134,2/16/2014,75,54
USW00093134,2/17/2014,71,50
USW00093134,2/18/2014,68,56
USW00093134,2/19/2014,66,54
USW00093134,2/20/2014,82,51
USW00093134,2/21/2014,79,55
USW00093134,2/22/2014,76,51
USW00093134,2/23/2014,73,49
USW00093134,2/24/2014,73,52
USW00093134,2/25/2014,71,56
USW00093134,2/26/2014,67,57
USW00093134,2/27/2014,71,56
USW00093134,2/28/2014,62,56
USW00093134,3/1/2014,61,54
USW00093134,3/2/2014,62,54
USW00093134,3/3/2014,68,51
USW00093134,3/4/2014,69,54
USW00093134,3/5/2014,72,54
USW00093134,3/6/2014,72,57
USW00093134,3/7/2014,71,56
