Cluster 1,Center,x=86.000000, y=64.000000
Date,High,Low,
1/25/2014,77,56,0
2/11/2014,75,54,0
2/16/2014,75,54,0
2/21/2014,79,55,0
3/10/2014,80,56,0
3/17/2014,74,56,0
3/18/2014,75,58,0
3/19/2014,79,56,0
4/11/2014,79,55,0
4/20/2014,75,59,0
4/21/2014,76,57,0
4/24/2014,79,55,0
4/28/2014,77,57,0
5/4/2014,81,59,0
5/26/2014,79,61,0
5/30/2014,78,60,0
5/31/2014,80,61,0
6/1/2014,80,61,0
6/3/2014,79,58,0
6/4/2014,78,59,0
6/5/2014,78,59,0
6/8/2014,77,60,0
6/9/2014,76,59,0
6/14/2014,75,59,0
6/17/2014,78,59,0
6/18/2014,77,59,0
6/19/2014,76,59,0
6/20/2014,80,60,0
10/25/2014,80,61,0
10/28/2014,78,59,0
10/30/2014,81,60,0
11/9/2014,77,58,0
11/23/2014,80,57,0
12/7/2014,76,54,0
12/8/2014,78,55,0
12/9/2014,76,54,0
1/26/2015,80,57,0
1/27/2015,74,57,0
1/28/2015,75,56,0
2/6/2015,75,54,0
2/8/2015,77,59,0
2/18/2015,75,55,0
3/20/2015,78,59,0
3/24/2015,75,58,0
3/29/2015,78,56,0
3/30/2015,78,57,0
4/1/2015,74,58,0
4/2/2015,75,54,0
4/12/2015,77,57,0
4/13/2015,75,58,0
4/15/2015,80,57,0
4/17/2015,81,56,0
4/18/2015,81,56,0
4/19/2015,75,55,0
4/27/2015,82,57,0
5/2/2015,80,59,0
5/3/2015,74,58,0
5/11/2015,76,57,0
5/28/2015,75,57,0
5/29/2015,77,58,0
5/30/2015,77,59,0
6/1/2015,75,59,0
6/7/2015,77,60,0
6/16/2015,79,61,0
6/19/2015,82,58,0
6/26/2015,78,60,0
11/2/2015,75,59,0
12/3/2015,76,56,0
12/6/2015,78,56,0
12/9/2015,75,55,0
2/17/2016,76,55,0
2/24/2016,81,58,0
2/28/2016,75,56,0
2/29/2016,74,56,0
3/1/2016,76,56,0
3/17/2016,81,59,0
3/26/2016,77,59,0
4/2/2016,76,54,0
4/3/2016,79,56,0
4/4/2016,80,58,0
4/12/2016,75,56,0
4/15/2016,81,59,0
4/16/2016,82,58,0
4/21/2016,78,58,0
4/23/2016,76,57,0
4/24/2016,75,58,0
5/3/2016,77,57,0
5/12/2016,75,58,0
5/13/2016,78,60,0
5/23/2016,74,57,0
5/26/2016,74,58,0
6/2/2016,78,60,0
6/4/2016,77,59,0
6/8/2016,77,60,0
6/16/2016,76,59,0
8/19/2016,80,61,0
9/14/2016,74,58,0
9/15/2016,81,60,0
9/16/2016,78,60,0
10/3/2016,76,59,0
10/5/2016,76,59,0
10/6/2016,81,57,0
10/13/2016,75,57,0
10/18/2016,76,59,0
10/23/2016,80,61,0
10/26/2016,77,58,0
10/27/2016,80,60,0
10/29/2016,80,60,0
11/5/2016,81,57,0
11/6/2016,76,56,0
11/7/2016,79,56,0
11/15/2016,78,56,0
2/9/2017,75,58,0
3/10/2017,81,56,0
3/16/2017,79,58,0
3/18/2017,75,57,0
3/19/2017,77,56,0
3/28/2017,79,57,0
3/30/2017,75,58,0
3/31/2017,76,58,0
4/2/2017,79,56,0
4/4/2017,75,58,0
4/6/2017,79,57,0
4/12/2017,75,56,0
4/16/2017,77,55,0
4/17/2017,75,56,0
4/18/2017,77,60,0
4/20/2017,79,59,0
4/23/2017,81,60,0
4/25/2017,77,60,0
5/4/2017,80,61,0
5/12/2017,75,59,0
5/13/2017,75,57,0
5/18/2017,75,57,0
5/22/2017,81,60,0
5/23/2017,82,59,0
5/24/2017,76,59,0
5/28/2017,78,59,0
6/9/2017,77,60,0
